city,country,year,lst_anomaly_c,ndvi_mean,impervious_pct,tree_canopy_pct,pop_density_km2,heat_mortality_per_100k,climate_zone
Tokyo,Japan,2015,3.815,0.2018,78,16,6168,1.8,Cfa
Tokyo,Japan,2016,4.244,0.2048,78,16,6168,1.8,Cfa
Tokyo,Japan,2017,3.793,0.206,78,16,6168,1.8,Cfa
Tokyo,Japan,2018,3.618,0.2134,78,16,6168,1.8,Cfa
Tokyo,Japan,2019,3.958,0.205,78,16,6168,1.8,Cfa
Tokyo,Japan,2020,3.885,0.2066,78,16,6168,1.8,Cfa
Tokyo,Japan,2021,3.894,0.2006,78,16,6168,1.8,Cfa
Tokyo,Japan,2022,3.841,0.2013,78,16,6168,1.8,Cfa
Tokyo,Japan,2023,3.897,0.2013,78,16,6168,1.8,Cfa
Tokyo,Japan,2024,3.842,0.1901,78,16,6168,1.8,Cfa
Tokyo,Japan,2025,3.83,0.19,78,16,6168,1.8,Cfa
Delhi,India,2015,3.704,0.1323,72,9,11297,3.2,BSh
Delhi,India,2016,3.518,0.1416,72,9,11297,3.2,BSh
Delhi,India,2017,3.644,0.1375,72,9,11297,3.2,BSh
Delhi,India,2018,3.338,0.1364,72,9,11297,3.2,BSh
Delhi,India,2019,3.593,0.1253,72,9,11297,3.2,BSh
Delhi,India,2020,3.615,0.1381,72,9,11297,3.2,BSh
Delhi,India,2021,3.659,0.1267,72,9,11297,3.2,BSh
Delhi,India,2022,3.656,0.1273,72,9,11297,3.2,BSh
Delhi,India,2023,3.837,0.128,72,9,11297,3.2,BSh
Delhi,India,2024,3.666,0.1245,72,9,11297,3.2,BSh
Delhi,India,2025,4.025,0.1256,72,9,11297,3.2,BSh
Shanghai,China,2015,3.453,0.1687,70,11,3854,2.1,Cfa
Shanghai,China,2016,3.613,0.1613,70,11,3854,2.1,Cfa
Shanghai,China,2017,3.537,0.1653,70,11,3854,2.1,Cfa
Shanghai,China,2018,3.651,0.1632,70,11,3854,2.1,Cfa
Shanghai,China,2019,3.393,0.1697,70,11,3854,2.1,Cfa
Shanghai,China,2020,3.618,0.1604,70,11,3854,2.1,Cfa
Shanghai,China,2021,3.536,0.1473,70,11,3854,2.1,Cfa
Shanghai,China,2022,3.6,0.1543,70,11,3854,2.1,Cfa
Shanghai,China,2023,3.931,0.1489,70,11,3854,2.1,Cfa
Shanghai,China,2024,3.914,0.1488,70,11,3854,2.1,Cfa
Shanghai,China,2025,3.762,0.1471,70,11,3854,2.1,Cfa
São Paulo,Brazil,2015,2.885,0.2242,68,19,7398,1.4,Cfa
São Paulo,Brazil,2016,3.059,0.2314,68,19,7398,1.4,Cfa
São Paulo,Brazil,2017,2.725,0.2229,68,19,7398,1.4,Cfa
São Paulo,Brazil,2018,2.432,0.2263,68,19,7398,1.4,Cfa
São Paulo,Brazil,2019,2.844,0.2302,68,19,7398,1.4,Cfa
São Paulo,Brazil,2020,2.959,0.2149,68,19,7398,1.4,Cfa
São Paulo,Brazil,2021,2.642,0.2137,68,19,7398,1.4,Cfa
São Paulo,Brazil,2022,2.646,0.2217,68,19,7398,1.4,Cfa
São Paulo,Brazil,2023,2.96,0.2111,68,19,7398,1.4,Cfa
São Paulo,Brazil,2024,3.112,0.2095,68,19,7398,1.4,Cfa
São Paulo,Brazil,2025,2.875,0.2137,68,19,7398,1.4,Cfa
Mexico City,Mexico,2015,3.086,0.1836,65,13,6700,1.9,Cwb
Mexico City,Mexico,2016,3.119,0.1674,65,13,6700,1.9,Cwb
Mexico City,Mexico,2017,2.943,0.1779,65,13,6700,1.9,Cwb
Mexico City,Mexico,2018,2.848,0.1798,65,13,6700,1.9,Cwb
Mexico City,Mexico,2019,3.225,0.1753,65,13,6700,1.9,Cwb
Mexico City,Mexico,2020,3.214,0.1804,65,13,6700,1.9,Cwb
Mexico City,Mexico,2021,3.129,0.1642,65,13,6700,1.9,Cwb
Mexico City,Mexico,2022,2.85,0.1671,65,13,6700,1.9,Cwb
Mexico City,Mexico,2023,3.36,0.1598,65,13,6700,1.9,Cwb
Mexico City,Mexico,2024,3.406,0.1601,65,13,6700,1.9,Cwb
Mexico City,Mexico,2025,3.355,0.1582,65,13,6700,1.9,Cwb
Cairo,Egypt,2015,2.948,0.077,82,3,19376,4.1,BWh
Cairo,Egypt,2016,2.994,0.0702,82,3,19376,4.1,BWh
Cairo,Egypt,2017,2.954,0.0676,82,3,19376,4.1,BWh
Cairo,Egypt,2018,2.801,0.0583,82,3,19376,4.1,BWh
Cairo,Egypt,2019,3.182,0.0554,82,3,19376,4.1,BWh
Cairo,Egypt,2020,3.002,0.0678,82,3,19376,4.1,BWh
Cairo,Egypt,2021,2.786,0.0576,82,3,19376,4.1,BWh
Cairo,Egypt,2022,2.886,0.0617,82,3,19376,4.1,BWh
Cairo,Egypt,2023,3.302,0.064,82,3,19376,4.1,BWh
Cairo,Egypt,2024,3.458,0.0539,82,3,19376,4.1,BWh
Cairo,Egypt,2025,3.125,0.0518,82,3,19376,4.1,BWh
Mumbai,India,2015,2.739,0.1534,76,8,20694,2.8,Aw
Mumbai,India,2016,3.029,0.1609,76,8,20694,2.8,Aw
Mumbai,India,2017,3.094,0.1625,76,8,20694,2.8,Aw
Mumbai,India,2018,2.919,0.1591,76,8,20694,2.8,Aw
Mumbai,India,2019,2.665,0.1532,76,8,20694,2.8,Aw
Mumbai,India,2020,2.868,0.1448,76,8,20694,2.8,Aw
Mumbai,India,2021,2.923,0.1535,76,8,20694,2.8,Aw
Mumbai,India,2022,2.717,0.1528,76,8,20694,2.8,Aw
Mumbai,India,2023,2.931,0.1512,76,8,20694,2.8,Aw
Mumbai,India,2024,3.164,0.1417,76,8,20694,2.8,Aw
Mumbai,India,2025,2.853,0.1411,76,8,20694,2.8,Aw
Beijing,China,2015,3.333,0.1966,60,18,1313,2.3,Dwa
Beijing,China,2016,3.795,0.1804,60,18,1313,2.3,Dwa
Beijing,China,2017,3.286,0.1862,60,18,1313,2.3,Dwa
Beijing,China,2018,3.189,0.1835,60,18,1313,2.3,Dwa
Beijing,China,2019,3.359,0.1872,60,18,1313,2.3,Dwa
Beijing,China,2020,3.222,0.182,60,18,1313,2.3,Dwa
Beijing,China,2021,3.413,0.1723,60,18,1313,2.3,Dwa
Beijing,China,2022,3.323,0.1718,60,18,1313,2.3,Dwa
Beijing,China,2023,3.439,0.1707,60,18,1313,2.3,Dwa
Beijing,China,2024,3.692,0.1662,60,18,1313,2.3,Dwa
Beijing,China,2025,3.726,0.1734,60,18,1313,2.3,Dwa
Dhaka,Bangladesh,2015,3.257,0.1268,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2016,3.338,0.1279,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2017,3.187,0.1218,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2018,2.994,0.1296,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2019,3.134,0.1198,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2020,3.207,0.1237,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2021,3.065,0.1174,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2022,3.169,0.1189,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2023,3.283,0.1233,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2024,3.586,0.1031,79,5,44500,5.1,Aw
Dhaka,Bangladesh,2025,2.928,0.1075,79,5,44500,5.1,Aw
Osaka,Japan,2015,3.462,0.2024,75,14,5427,2.0,Cfa
Osaka,Japan,2016,3.677,0.2013,75,14,5427,2.0,Cfa
Osaka,Japan,2017,3.58,0.203,75,14,5427,2.0,Cfa
Osaka,Japan,2018,3.478,0.1962,75,14,5427,2.0,Cfa
Osaka,Japan,2019,3.616,0.1936,75,14,5427,2.0,Cfa
Osaka,Japan,2020,3.542,0.1843,75,14,5427,2.0,Cfa
Osaka,Japan,2021,3.695,0.1814,75,14,5427,2.0,Cfa
Osaka,Japan,2022,3.519,0.1938,75,14,5427,2.0,Cfa
Osaka,Japan,2023,3.642,0.1836,75,14,5427,2.0,Cfa
Osaka,Japan,2024,3.782,0.1877,75,14,5427,2.0,Cfa
Osaka,Japan,2025,3.883,0.19,75,14,5427,2.0,Cfa
New York,USA,2015,3.296,0.2517,72,24,10431,0.9,Cfa
New York,USA,2016,3.747,0.2479,72,24,10431,0.9,Cfa
New York,USA,2017,3.628,0.2593,72,24,10431,0.9,Cfa
New York,USA,2018,3.798,0.2377,72,24,10431,0.9,Cfa
New York,USA,2019,3.281,0.2427,72,24,10431,0.9,Cfa
New York,USA,2020,3.865,0.2425,72,24,10431,0.9,Cfa
New York,USA,2021,3.504,0.2371,72,24,10431,0.9,Cfa
New York,USA,2022,3.461,0.23,72,24,10431,0.9,Cfa
New York,USA,2023,3.971,0.2317,72,24,10431,0.9,Cfa
New York,USA,2024,3.873,0.235,72,24,10431,0.9,Cfa
New York,USA,2025,3.887,0.22,72,24,10431,0.9,Cfa
Karachi,Pakistan,2015,2.866,0.0731,74,4,24000,6.2,BWh
Karachi,Pakistan,2016,3.084,0.0852,74,4,24000,6.2,BWh
Karachi,Pakistan,2017,2.911,0.0794,74,4,24000,6.2,BWh
Karachi,Pakistan,2018,2.576,0.064,74,4,24000,6.2,BWh
Karachi,Pakistan,2019,2.678,0.0682,74,4,24000,6.2,BWh
Karachi,Pakistan,2020,2.796,0.0687,74,4,24000,6.2,BWh
Karachi,Pakistan,2021,2.788,0.0668,74,4,24000,6.2,BWh
Karachi,Pakistan,2022,2.715,0.0647,74,4,24000,6.2,BWh
Karachi,Pakistan,2023,3.322,0.0657,74,4,24000,6.2,BWh
Karachi,Pakistan,2024,3.109,0.0563,74,4,24000,6.2,BWh
Karachi,Pakistan,2025,2.942,0.057,74,4,24000,6.2,BWh
Buenos Aires,Argentina,2015,2.527,0.2161,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2016,2.493,0.2203,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2017,2.397,0.2206,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2018,2.374,0.2135,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2019,2.673,0.2178,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2020,2.369,0.2127,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2021,2.498,0.2076,66,20,5265,1.1,Cfa
Buenos Aires,Argentina,2022,2.541,0.2038,66,20,5265,1.1,Cfa
